,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,127542.27349112082,59532.38216683758,67868.29035542026,69627.30003901522,217774.54718654123,132241.15994952444,71495.44759375714,138759.7847715077,254585.4519866352,298566.271209431,263007.7773560283,386481.7369283936,318488.93144391774,425502.16086460423,440469.60384103516,536018.2826875007,262566.2784740194,191896.75374782903,67877.41199630278,37412.465483665095,681364.9845779144,125698.1683025119,440469.60384103516,1.0
1,285494.5367860692,194105.14469221656,116367.38222686866,53175.27323483543,327141.76467945235,261188.75914000394,119037.81011246346,139237.13659941452,372328.42622257135,378756.44307917426,159281.92092941917,193731.6875508907,241707.86030996966,355546.92101842863,288232.51428946643,318667.62565667904,304551.9115115293,207648.29240796392,116365.02169940807,68029.3501164837,538827.3352765962,94397.13951892058,288232.51428946643,1.0
2,718562.0370999941,312062.82706208894,169253.98532251563,84894.05045304068,821949.9721155595,335889.0373550125,125003.91024080999,150869.10228351067,487252.4831979057,506097.6572903951,322524.05925787205,290952.00451992534,389493.88862594345,562041.9444583838,547213.5885501293,347710.45477181254,398938.9718690981,297279.02062339365,169127.20467545956,88631.76631722954,863881.7957771803,171838.1046667019,547213.5885501293,1.0
3,555312.0589631546,191859.23069501246,119667.44902271335,110303.96590691518,694748.5769320213,278628.3708532286,143687.45810277245,167229.6104160372,439576.4178952085,427190.27981014433,208679.5992552469,233033.1122365895,525116.5014954031,521564.2315969057,273921.0500012798,372948.0770144031,309940.3478082034,228178.86003007868,119788.03914742245,94496.64733211593,497848.09791423153,204965.68023013303,273921.0500012798,1.0
0,270237.1035545412,73179.28196528803,76923.47464196719,60466.54902149325,297967.26163736475,131682.3566604995,81140.12126383936,99096.58567864091,296870.0322538222,161354.12255052838,112641.76399825617,144598.9567374536,270532.0255794792,275123.7206917379,190291.15087938678,212923.26713125958,101885.45918644604,118810.02146736614,76875.3495837721,36924.71374881034,284351.2819726273,126750.77939383667,190291.15087938678,0.0
1,281639.70419922005,90284.24057236237,84419.30607849098,60263.43274714247,216965.6173606706,151364.8313311408,100393.62092334942,117246.68916976856,272230.47698769445,201742.04940186543,146880.3127806528,165328.80497760998,309788.4303083636,291914.5120495322,279306.1522907077,316398.37761885364,135539.24074475706,163284.21808515544,84385.2113076859,51378.61121314347,416444.3677142061,105196.2548064503,279306.1522907077,0.0
2,78680.42259499482,69168.17900530694,53167.2984024157,41354.256858968525,71915.90328942315,106228.26647917478,93952.70173481239,75278.99753856233,106731.49313348309,77027.28598680477,120214.3337922525,146545.36380435416,140244.88158623196,179666.034249266,242876.32960959623,257244.97635111198,57165.79445991509,143839.52542393323,53242.11618007421,46457.77059320986,297678.4413524824,102820.41972636379,242876.32960959623,0.0
3,149519.8768133654,37322.584619913134,41992.44298735358,40586.81485088331,125947.43566498382,55570.46113866994,59160.27353431609,50304.73559647355,82904.92296502832,50605.161746087666,80091.42457693133,210839.8599079619,126219.15466881325,149730.11521611863,169687.01924543196,274377.64678070584,32887.37549254553,83049.88432020383,41906.909040329236,26968.357202464016,279268.7240520206,86169.73514336195,169687.01924543196,0.0
4,107207.84905799397,56524.923739838414,49125.19704245046,38099.31642859181,93754.37678997149,72908.68147048842,78202.79475949399,46352.949210821025,74681.65085510774,45236.04400584314,97281.18572551181,280526.97493506444,107821.91119399035,100473.92662434965,118510.19675202499,345189.5157639946,35700.732126565345,133927.6639733256,49220.44667038052,39771.129028231895,179819.70869262438,71929.41581734405,118510.19675202499,0.0
5,87717.65763172315,26918.61496021277,33398.6286844479,42338.32557250544,55609.66762120055,41228.61756261708,56241.64681542416,44644.7064400431,34143.26637623003,25211.826098303125,85973.33643734705,103572.4258503525,30260.554564379916,66866.43079706431,85793.43209030415,137522.35498701033,19271.272759533822,109169.30898419932,33359.937919779106,24826.482432550172,125742.4903714749,32527.83411100766,85793.43209030415,0.0
6,79046.70784613365,32494.07023868811,34225.08841227784,24566.159670640256,76234.64897838133,41041.58241959056,28381.105317974278,38910.13380594617,40468.44225311612,22901.931836787993,35105.50458502601,128162.34297523001,41559.013344173334,58068.76125228876,73083.52805306972,236529.71662697828,20030.094793606724,43481.41882147062,34209.2056579734,24524.20112601695,115617.26112651908,34000.34212723264,73083.52805306972,0.0
