,Variance,Kurtosis,Skewness,PFD,Hjorth Mobility,Hjorth Complexity,Spectral Entropy,Seizure
0,5.027265884872742e-09,1.896098933728697,0.062323876592460165,0.5754049379125147,0.009074762217943141,195.00837140493226,0.5939974982889387,1
1,5.587854147732175e-09,1.1857178128800197,-0.003049733919934232,0.5790633915604676,0.00831781209110593,208.497879839309,0.5811512897803228,1
2,4.130273002336622e-09,2.908126741691669,0.36739352427604177,0.5719900087476282,0.0068205785118602,241.0569938283636,0.5125574085991864,1
3,9.595825621973892e-09,3.2112799684167204,-0.1012801072531888,0.5728609116864342,0.006131723362556222,271.96278651781915,0.4835314078487658,1
4,1.0203854963973141e-08,2.4389777643445294,0.1648868798367875,0.5696621799131724,0.007309414440128634,240.1094228563393,0.5055087438337901,1
5,5.364085852028828e-09,0.6953955552827371,0.05946185235760254,0.5832182696278386,0.004997198804990282,254.641946868494,0.5293036636611836,1
6,7.797267185218699e-09,1.937881230100141,-0.09399145265054124,0.5760134367085414,0.008499949241477879,209.89270138383824,0.5906782324105923,1
7,1.1901599923091871e-08,1.3301101563571198,-0.03316818894000964,0.5649039359886548,0.010977689619347341,191.06638054386815,0.5173960340966272,1
8,8.894787271394605e-09,1.7198735127472613,-0.019124848929662448,0.5645245007761813,0.011170255644033478,178.2938134030879,0.5400269746860007,1
9,1.6767274573162038e-08,1.1534462673119126,-0.011626683695020358,0.5658653469497618,0.011216712044329509,191.6449557563169,0.5436090203877402,1
10,1.208576954744547e-08,1.990983546095004,0.0018699587091556464,0.5692605056568608,0.009678212547446234,192.4317689817046,0.5485377447504279,1
11,1.579606590056075e-08,2.4295281737153767,-0.00700921478201898,0.5751123347357062,0.006931746932971172,229.44640875492507,0.4914826464717135,1
12,1.2850608950447229e-08,3.88700834507162,-0.026540833762034637,0.569896752601961,0.009578932971432506,183.72957133338176,0.5980041368512772,1
13,1.2952837067784916e-08,2.826122193919125,0.11628131671682708,0.5748535967055203,0.0075414262389314575,224.16938532706772,0.5642145220983321,1
14,2.46434485417496e-08,2.582906535871538,-0.020488498208355597,0.5787293709472977,0.005910861637134523,272.040393635638,0.4889681553913526,1
